num_sensors,k_split,ga
15,871,642
15,809,622
15,880,665
15,852,673
15,806,631
15,839,678
15,836,674
15,872,647
15,862,638
15,860,640
15,825,608
15,868,600
15,819,577
15,839,628
15,886,589
15,826,612
15,857,584
15,825,618
15,851,609
15,828,588
15,774,506
15,733,555
15,713,525
15,836,544
15,781,565
15,768,518
15,830,506
15,773,534
15,775,501
15,762,548
15,822,619
15,853,645
15,831,635
15,828,613
15,816,605
15,902,640
15,789,648
15,889,647
15,852,633
15,834,644
15,737,532
15,773,512
15,730,602
15,729,549
15,739,568
15,739,487
15,778,554
15,751,550
15,749,564
15,761,518
25,1216,795
25,1264,776
25,1312,787
25,1203,781
25,1219,834
25,1293,783
25,1270,754
25,1226,856
25,1236,765
25,1197,774
25,1164,834
25,1255,849
25,1225,810
25,1299,815
25,1304,789
25,1305,824
25,1242,842
25,1215,842
25,1274,815
25,1241,795
25,1204,867
25,1213,818
25,1295,833
25,1176,765
25,1295,822
25,1247,790
25,1282,869
25,1298,885
25,1212,866
25,1200,858
25,1252,795
25,1184,834
25,1203,803
25,1389,818
25,1234,752
25,1339,808
25,1166,809
25,1245,817
25,1174,844
25,1203,829
25,1253,956
25,1336,896
25,1407,917
25,1434,888
25,1332,874
25,1330,910
25,1359,933
25,1330,876
25,1291,868
25,1346,850
35,1616,1048
35,1699,1001
35,1786,1021
35,1795,1097
35,1710,1016
35,1621,1010
35,1757,1056
35,1773,985
35,1766,970
35,1709,1054
35,1846,1111
35,1821,1074
35,1845,1027
35,1765,1056
35,1800,1092
35,1898,1101
35,1781,1056
35,1755,1027
35,1826,1039
35,1834,1091
35,1831,1121
35,1815,1077
35,1927,1101
35,1838,1030
35,1865,1011
35,1842,1068
35,1850,1053
35,1771,1074
35,1796,1003
35,1889,1089
35,1944,1164
35,1976,1176
35,1844,1153
35,1901,1152
35,1979,1160
35,1835,1204
35,1996,1185
35,1988,1183
35,1993,1185
35,1959,1193
35,1961,1069
35,1906,1099
35,1901,1136
35,1878,1099
35,1926,1121
35,1859,1104
35,1877,1095
35,1867,1095
35,1859,1133
35,1951,1098
45,2386,1333
45,2327,1231
45,2420,1345
45,2468,1240
45,2315,1190
45,2298,1309
45,2412,1226
45,2452,1233
45,2489,1223
45,2498,1268
45,2341,1260
45,2403,1317
45,2395,1362
45,2368,1298
45,2423,1312
45,2526,1353
45,2453,1365
45,2414,1338
45,2512,1302
45,2408,1353
45,2364,1298
45,2476,1268
45,2396,1248
45,2412,1345
45,2349,1319
45,2519,1296
45,2377,1330
45,2298,1308
45,2434,1344
45,2349,1322
45,2490,1331
45,2283,1244
45,2485,1331
45,2368,1280
45,2460,1367
45,2344,1271
45,2452,1268
45,2441,1266
45,2491,1318
45,2479,1287
45,2434,1261
45,2384,1237
45,2472,1213
45,2512,1278
45,2367,1234
45,2335,1239
45,2331,1247
45,2374,1243
45,2226,1239
45,2213,1260
55,3044,1470
55,2954,1428
55,2909,1447
55,2849,1469
55,3009,1413
55,2902,1425
55,2904,1447
55,2957,1386
55,2808,1463
55,2894,1496
55,2956,1575
55,3027,1514
55,2996,1523
55,3064,1548
55,2980,1509
55,2931,1514
55,3056,1525
55,2988,1486
55,2943,1510
55,2859,1526
55,3028,1424
55,3079,1408
55,3012,1454
55,3084,1499
55,3054,1478
55,3027,1437
55,3090,1435
55,3054,1462
55,3159,1508
55,3059,1435
55,2943,1425
55,2822,1403
55,2933,1434
55,2880,1425
55,2958,1382
55,2843,1397
55,2898,1347
55,2915,1408
55,2904,1340
55,2888,1368
55,2933,1419
55,2979,1438
55,2904,1431
55,2968,1406
55,2933,1457
55,2908,1485
55,2890,1484
55,2891,1419
55,2918,1424
55,2874,1419
